Location,Bait,Start,End,Transition,Weather,"Predator, Amount",Tug,Hookset,Gathering,Snagging?,Fish Eyes?,ID
Ilsabardian Bass,Topwater Frog,,,,,,,,,,,139
Goldfish,Silverfish,,,,,,Light,,,,,146
Wootz Knifefish,Goldfish,,,,,,,Powerful,,,,162
Wootz Knifefish Zenith,Silverfish,1,4,"Clear Skies, Fair Skies",Fog,,,Powerful,,,,303
The Goblet,,,,,,,,,,,,30601
Brass Loach,Wildfowl Fly,,,,,,Medium,Powerful,,,,21
Faerie Bass,Midge Basket,,,,,,Medium,Powerful,,,,33
Copperfish,Butterworm,,,,,,Light,,,,,41
Eunuch Crayfish,Copperfish,,,,,,Light,,,,,47
Dark Bass,Crow Fly,,,,,,Medium,,,,,56
Lamprey,Copperfish,,,,,,Light,,,,,68
Silverfish,Honey Worm,,,,,,Light,,,,,90
Goldfish,Silverfish,,,,,,Light,,,,,146
Spearnose,Caddisfly Larva,21,24,,"Clouds, Fog",,,,,,,255
Coerthas River,,,,,,,,,,,,40101
Striped Goby,Moth Pupa,,,,,,Light,,,,,6
Maiden Carp,Wildfowl Fly,,,,,,Medium,Powerful,,,,23
Rainbow Trout,Midge Basket,,,,,,Medium,Powerful,,,,28
Seema,Wildfowl Fly,,,,,,Medium,Powerful,,,,87
Giant Bass,Honey Worm,,,,,,Medium,Powerful,,,,95
Crimson Trout,Spinner,,,,,,,,,,,104
Kissing Trout,Striped Goby,,,,,,,,,,,144
Daniffen's Mark,Wildfowl Fly,,,,Blizzards,,,Powerful,,,,268
Daniffen Pass,,,,,,,,,,,,40106
Striped Goby,Moth Pupa,,,,,,Light,,,,,6
Blindfish,Syrphid Basket,,,,,,Light,,,,,25
Lamp Marimo,Chocobo Fly,,,,,,Light,,,,,74
Abalathian Smelt,Brute Leech,,,,,,,,,,,24
Golden Loach,Topwater Frog,,,,,,,Precision,,,,101
Cave Cherax,Striped Goby,,,,,,,Powerful,,,,153
Charon's Lantern,Glowworm,0,4,,,,,Precision,,,,269
The Nail,,,,,,,,,,,,40103
Striped Goby,Moth Pupa,,,,,,Light,,,,,6
Abalathian Smelt,Stonefly Nymph,,,,,,,,,,,24
Giant Bass,Honey Worm,,,,,,Medium,Powerful,,,,95
Crimson Trout,Wildfowl Fly,,,,,,,,,,,104
Bronze Lake Trout,Spinnerbait,,,,,,Medium,Powerful,,,,108
Northern Pike,Topwater Frog,,,,,,,Precision,,,,122
Kissing Trout,Striped Goby,,,,,,,,,,,144
Emperor Fish,Abalathian Smelt,,,,,,,Powerful,,,,176
Starbright,Abalathian Smelt,21,4,,"Clear Skies, Fair Skies",,,Powerful,,,,281
Dragonhead Latrines,,,,,,,,,,,,40105
Striped Goby,Moth Pupa,,,,,,Light,,,,,6
Rainbow Trout,Crow Fly,,,,,,Medium,Powerful,,,,28
Abalathian Smelt,Stonefly Nymph,,,,,,,,,,,24
Seema,Wildfowl Fly,,,,,,Medium,Powerful,,,,87
Crimson Trout,Spinner,,,,,,,,,,,104
Kissing Trout,Striped Goby,,,,,,,,,,,144
Dawn Maiden,Wildfowl Fly,5,7,,"Clear Skies, Fair Skies",,,Powerful,,,,280
Exploratory Ice Hole,,,,,,,,,,,,40107
Lamp Marimo,Chocobo Fly,,,,,,Light,,,,,74
Abalathian Smelt,Brute Leech,,,,,,,,,,,24
Northern Pike,Topwater Frog,,,,,,,Precision,,,,122
Kissing Trout,Abalathian Smelt,,,,,,,,,,,144
The Matriarch,Abalathian Smelt,,,,,,,Precision,,,,282
The Weeping Saint,,,,,,,,,,,,40104
Lamp Marimo,Chocobo Fly,,,,,,Light,,,,,74
Abalathian Smelt,Brute Leech,,,,,,,,,,,24
Giant Bass,Honey Worm,,,,,,Medium,Powerful,,,,95
Crimson Trout,Wildfowl Fly,,,,,,,,,,,104
Common Sculpin,Spinnerbait,,,,,,Light,,,,,119
Northern Pike,Topwater Frog,,,,,,,Precision,,,,122
Angry Pike,Abalathian Smelt,,,,,,,Powerful,,,,145
Darkstar,Abalathian Smelt,19,4,,"Blizzards, Snow","Lamp Marimo, 5",,Powerful,,,,305
Snowcloak,,,,,,,,,,,,40108
Rainbow Trout,Crow Fly,,,,,,Medium,Powerful,,,,28
Seema,Wildfowl Fly,,,,,,Medium,Powerful,,,,87
Crimson Trout,Spinner,,,,,,,,,,,104
Wandering Sculpin,Caddisfly Larva,,,,,,,,,,,151
Blue Corpse,Caddisfly Larva,,,"Blizzards, Snow","Clear Skies, Fair Skies",,,,,,,306
Sea of Clouds,,,,,,,,,,,,40109
Cloud Jellyfish,Hoverworm,,,,,,Small,,,,,126
Skyfish,Hoverworm,,,,,,,,,,,132
Cloud Cutter,Hoverworm,,,,,,,,,,,134
Blind Manta,Cloud Cutter,,,,,,,,,,,137
Rift Sailor,Hoverworm,,,,,,,,,,,142
Anomalocaris,Cloud Cutter,10,15,,"Clear Skies, Fair Skies",,,Powerful,,,,285
Witchdrop,,,,,,,,,,,,40102
Cloud Jellyfish,Balloon Bug,,,,,,,,,,,126
Skyfish,Balloon Bug,,,,,,,,,,,132
Cloud Cutter,Hoverworm,,,,,,,,,,,134
Blind Manta,Cloud Cutter,,,,,,,,,,,137
Rift Sailor,Balloon Bug,,,,,,,,,,,142
Saucerfish,Cloud Cutter,,,,,,,,,,,148
Rhamphorhynchus,Saucerfish,,,,,,,Powerful,,,,168
Mahar,Cloud Cutter,,,"Clear Skies, Fair Skies",Blizzards,,,,,,,307
Shonisaurus,Mahar,,,,Blizzards,,,Powerful,,,,308
Riversmeet,,,,,,,,,,,,40201
Abalathian Smelt,Syrphid Basket,,,,,,,,,,,24
Coerthan Crab,Stonefly Nymph,,,,,,,,,,,318
Coerthan Puffer,Purse Web Spider,,,,"Blizzards, Snow",,,,,,,362
Fat Purse,Brute Leech,,,,,,,,,,,462
Greytail Falls,,,,,,,,,,,,40202
Cloud Coral,Balloon Bug,,,,,,,,,,,315
Skyworm,Giant Crane Fly,,,,,,,,,,,317
Glacier Core,Red Balloon,,,,"Blizzards, Snow",,,,,,,324
Warballoon,Skyworm,,,,"Clear Skies, Fair Skies",,,Precision,,,1,399
Rime Eater,Glacier Core,,,,"Blizzards, Snow",,,Precision,,,,366
Hailfinder,Glacier Core,,,"Snow, Blizzards",Blizzards,,,,,,,478
Unfrozen Pond,,,,,,,,,,,,40203
Abalathian Smelt,Syrphid Basket,,,,,,,,,,,24
Icepick,Goblin Jig,,,,,,,Precision,,,,314
Ice Faerie,Purse Web Spider,,,,,,,,,,,316
Sorcerer Fish,Abalathian Smelt,8,20,,,,,,,,,326
Albino Octopus,Brute Leech,8,17,,,,,,,,,396
Coerthan Clione,Brute Leech,0,2,,Blizzards,,,Precision,,,,439
Flarefish,Ice Faerie,10,16,,Blizzards,,,Powerful,,,,479
Clearpool,,,,,,,,,,,,40204
Abalathian Smelt,Syrphid Basket,,,,,,,,,,,24
Ice Faerie,Purse Web Spider,,,,,,,,,,,316
Coerthan Crab,Stonefly Nymph,,,,,,,,,,,318
Hotrod,Brute Leech,,,,"Blizzards, Snow",,,,,,,327
Priestfish,Brute Leech,,,,,,,Powerful,,,1,456
Ghost Faerie,Stonefly Nymph,,,,,,,Precision,,,,507
Bishopfish,Brute Leech,10,14,,Clear Skies,,,Powerful,,,1,489
Charibenet,Ice Faerie,0,3,,Blizzards,"Ice Faerie, 5",,Precision,,,,504
Dragonspit,,,,,,,,,,,,40205
Ogre Horn Snail,Stonefly Nymph,,,,,,,,,,,325
Cherry Trout,Bladed Steel Jig,,,,,,,Powerful,,,,424
Hospitalier Fish,Purse Web Spider,,,,,,,,,,,409
Spring Urchin,Brute Leech,,,,,,,Precision,,1,,423
The Impaler,Brute Leech,,,,,,,Precision,,1,,463
Dragonspine,Signature Skyball,,,,,,,Precision,,,,3300
South Banepool,,,,,,,,,,,,40206
Abalathian Smelt,Syrphid Basket,,,,,,,,,,,24
Icepick,Goblin Jig,,,,,,,Precision,,,,314
Ice Faerie,Purse Web Spider,,,,,,,,,,,316
Lake Urchin,Stonefly Nymph,,,,,,,,,1,,320
Ammonite,Goblin Jig,,,,,,,,,,,338
Seema Patrician,Stonefly Nymph,,,,,,,,,,,337
Fanged Clam,Ice Faerie,,,,,,,,,,,319
Mountain Kraken,Brute Leech,,,,,,,,,,1,459
Magic Bucket,Brute Leech,,,,,,,Powerful,,1,,461
Captain Nemo,Brute Leech,,,Snow,Blizzards,,,,,,,490
Ashpool,,,,,,,,,,,,40207
Abalathian Smelt,Syrphid Basket,,,,,,,,,,,24
Ice Faerie,Purse Web Spider,,,,,,,,,,,316
Fanged Clam,Goblin Jig,,,,,,,,,,,319
Lake Urchin,Stonefly Nymph,,,,,,,,,1,,320
Gigant Grouper,Abalathian Smelt,,,,,,,Powerful,,,,348
Battle Galley,Ice Faerie,,,,,,,Powerful,,,,417
Northern Oyster,Stonefly Nymph,,,,,,,,,,,835
La Reale,Brute Leech,,,,,,,Powerful,,,,464
West Banepool,,,,,,,,,,,,40208
Fanged Clam,Goblin Jig,,,,,,,,,,,319
Lake Urchin,Goblin Jig,,,,,,,,,1,,320
Ice Faerie,Purse Web Spider,,,,,,,,,,,316
Mercy Staff,Brute Leech,,,,"Blizzards, Snow",,,,,,,365
Snowcaller,Brute Leech,,,,"Blizzards, Snow",,,,,,,363
Coerthan Oyster,Brute Leech,,,,,,,,,1,,457
Merciless,Ice Faerie,,,"Snow, Blizzards",Blizzards,,,,,,1,488
North Silvertear,,,,,,,,,,,,50101
Lamp Marimo,Chocobo Fly,,,,,,Light,,,,,74
Silverfish,Honey Worm,,,,,,Light,,,,,90
Ignus Snail,Stem Borer,,,,,,Light,,,,,109
Sludgeskipper,Stem Borer,,,,,,Light,Precision,,,,131
Assassin Betta,Silverfish,,,,,,,,,,,130
Ilsabardian Bass,Glowworm,,,,,,,,,,,139
Goldfish,Silverfish,,,,,,Light,,,,,146
Heliobatis,Caddisfly Larva,17,9,,,,,Powerful,,,,178
Aetherlouse,Glowworm,3,13,,Gloom,,,Powerful,,,,287
The Deep Tangle,,,,,,,,,,,,50104
Ala Mhigan Fighting Fish,Midge Basket,,,,,,Light,,,,,31
Dark Bass,Crow Fly,,,,,,Medium,Powerful,,,,56
Mitten Crab,Honey Worm,,,,,,Light,,,,,84
Giant Bass,Honey Worm,,,,,,Medium,Powerful,,,,95
Ignus Snail,Stem Borer,,,,,,Light,,,,,109
Knifefish,Glowworm,,,,,,Medium,Powerful,,,,115
Boxing Pleco,Glowworm,,,,,,,,,,,141
Monke Onke,Ala Mhigan Fighting Fish,,,,,,Light,,,,,86
Ignus Horn,Glowworm,,,Gloom,"Clear Skies, Fair Skies",,,,,,,294
Singing Shards,,,,,,,,,,,,50105
Mudcrab,Honey Worm,,,,,,Light,,,,,44
Lamp Marimo,Chocobo Fly,,,,,,Light,,,,,74
Bonytongue,Streamer,,,,,,Medium,Powerful,,,,82
Silverfish,Honey Worm,,,,,,Light,,,,,90
Giant Bass,Honey Worm,,,,,,Medium,Powerful,,,,95
Knifefish,Glowworm,,,,,,Medium,Powerful,,,,115
Garpike,Silverfish,,,,,,,Powerful,,,,136
Ilsabardian Bass,Topwater Frog,,,,,,,,,,,139
Blood Red Bonytongue,Silverfish,4,12,"Clear Skies, Fair Skies",Fog,,,Powerful,,,,312
Rathefrost,,,,,,,,,,,,50102
Lamp Marimo,Chocobo Fly,,,,,,Light,,,,,74
Silverfish,Honey Worm,,,,,,Light,,,,,90
Giant Bass,Honey Worm,,,,,,Medium,Powerful,,,,95
Ignus Snail,Stem Borer,,,,,,Light,,,,,109
Knifefish,Glowworm,,,,,,Medium,Powerful,,,,115
Assassin Betta,Silverfish,,,,,,,,,,,130
Ilsabardian Bass,Topwater Frog,,,,,,,,,,,139
Goldfish,Silverfish,,,,,,Light,,,,,146
Poxpike,Goldfish,,,,,,,,,,,175
Void Bass,Glowworm,,,"Clear Skies, Fair Skies",Gloom,,,Powerful,,,,295
The Tangle,,,,,,,,,,,,50103
Bone Crayfish,Moth Pupa,,,,,,Light,,,,,9
Ala Mhigan Fighting Fish,Midge Basket,,,,,,Light,,,,,31
Silverfish,Honey Worm,,,,,,Light,,,,,90
Sludgeskipper,Stem Borer,,,,,,Light,Precision,,,,131
Assassin Betta,Ala Mhigan Fighting Fish,,,,,,,,,,,130
Boltfish,Silverfish,,,,,,,Powerful,,,,135
Ilsabardian Bass,Topwater Frog,,,,,,,,,,,139
Cadaver Carp,Rainbow Spoon Lure,,,,Gloom,,,Powerful,,,,167
Ninja Betta,Assassin Betta,18,9,,Gloom,,,Powerful,,,,297
The North Shards,,,,,,,,,,,,50106
Lamp Marimo,Chocobo Fly,,,,,,Light,,,,,74
Silverfish,Honey Worm,,,,,,Light,,,,,90
Giant Bass,Honey Worm,,,,,,Medium,Powerful,,,,95
Ignus Snail,Stem Borer,,,,,,Light,,,,,109
Assassin Betta,Silverfish,,,,,,,,,,,130
Ilsabardian Bass,Topwater Frog,,,,,,,,,,,139
Goldfish,Silverfish,,,,,,Light,,,,,146
Morinabaligi,Goldfish,,,,,,,Powerful,,,,183
Canavan,Goldfish,8,18,,Gloom,,,Powerful,,,,298
Kuno the Killer,Assassin Betta,,,,,"Canavan, 1",,Powerful,,,,299
Voor Sian Siran,,,,,,,,,,,,60101
Hedgemole Cricket,Stonefly Nymph,,,,,,,,,,,357
Cloudfish,Stonefly Nymph,,,,,,,,,,,331
Bullfrog,Bladed Steel Jig,,,,,,,,,,,330
Maiboi,Stonefly Nymph,,,,,,,,,,,328
Bubble Eye,Brute Leech,10,18,,,,,,,,,339
Caiman,Bullfrog,18,21,,,,,Powerful,,,,402
Inkfish,Brute Leech,14,16,,,,,Powerful,,,1,471
The Eddies,,,,,,,,,,,,60102
Hedgemole Cricket,Stonefly Nymph,,,,,,,,,,,357
Cloudfish,Stonefly Nymph,,,,,,,,,,,331
Bullfrog,Bladed Steel Jig,,,,,,,,,,,330
Yalm Lobster,Bladed Steel Jig,,,,,,,,,,,418
Vanuhead,Bladed Steel Jig,,,,"Clear Skies, Fair Skies",,,,,,,349
Catkiller,Brute Leech,,,,"Clear Skies, Fair Skies",,,,,,,429
Red Sky Coral,Bladed Steel Jig,,,,,,,,,1,,508
Paikiller,Bullfrog,8,12,Fog,Clear Skies,,,Powerful,,,,491
Cloudtop,,,,,,,,,,,,60103
Starflower,Red Balloon,,,,"Clear Skies, Fair Skies",,,Precision,,,,323
Buoyant Oviform,Red Balloon,,,,,,,,,,,334
Mahu Wai,Red Balloon,,,,,,,,,,,332
Mitre Slug,Red Balloon,,,,,,,,,,,344
Blue Cloud Coral,Red Balloon,,,,,,,,,1,,336
Fleece Stingray,Giant Crane Fly,,,,"Clear Skies, Fair Skies",,,,,,,453
Cirrostratus,Giant Crane Fly,10,13,,"Clear Skies, Fair Skies",,,,,,,483
The Blue Window,,,,,,,,,,,,60104
Buoyant Oviform,Red Balloon,,,,,,,,,,,334
Sky Faerie,Red Balloon,,,,,,,,,,,353
Whiteloom,Red Balloon,,,,,,,Precision,,,,335
Storm Core,Red Balloon,,,,"Clouds, Fog, Wind",,,Precision,,,,346
Winged Gurnard,Giant Crane Fly,,,,,,,Powerful,,,,422
Sky Sweeper,Giant Crane Fly,,,,,,,Powerful,,,,385
Tornado Shark,Giant Crane Fly,,,,,,,Powerful,,,,398
The Second One,Giant Crane Fly,,,,Wind,,,,,,,472
Cloudweed,Metal Spinner,,,,,,,,,,,3313
Mok Oogl Island,,,,,,,,,,,,60105
Starflower,Red Balloon,,,,"Clear Skies, Fair Skies",,,Precision,,,,323
Sky Faerie,Red Balloon,,,,,,,,,,,353
Scorpionfly,Giant Crane Fly,,,,,,,,,,,410
Moogle Spirit,Giant Crane Fly,,,,,,,,,,,414
Vampiric Tapestry,Giant Crane Fly,,,,,,,,,,,434
Heavens Coral,Giant Crane Fly,0,5,,"Clear Skies, Fair Skies",,,Precision,,1,,441
Basking Shark,Sky Faerie,,,Fog,Clear Skies,,,Powerful,,,,476
Sea Butterfly,Giant Crane Fly,5,7,,Clear Skies,"Scorpionfly, 3, Sky Faerie, 3",,,,,,503
Alpha Quadrant,,,,,,,,,,,,60201
Platinum Fish,Fiend Worm,,,,,,Light,,,,,376
Bullwhip,Fiend Worm,,,,,,Medium,,,,,373
Blood Skipper,Fiend Worm,,,,Thunder,,,,,,,412
High Allagan Helmet,Platinum Fish,,,,,,Medium,Powerful,,,,375
Allagan Hunter,Signature Skyball,,,,,,Medium,,,,,
Augmented High Allagan Helmet,Platinum Fish,,,,,,Heavy,Powerful,,,,473
Aetherochemical Spill,,,,,,,,,,,,60202
Platinum Fish,Fiend Worm,,,,,,,,,,,376
Bullwhip,Fiend Worm,,,,,,,,,,,373
Blood Skipper,Fiend Worm,,,,Thunder,,,,,,,412
Aetherochemical Compound #123,Platinum Fish,,,,,,,Precision,,,,388
Proto-hropken,Platinum Fish,,,,,,,,,,,401
Aetherochemical Compound #666,Platinum Fish,,,,,,,Precision,,,1,485
Hyperstellar Downconverter,,,,,,,,,,,,60203
Platinum Fish,Fiend Worm,,,,,,,,,,,376
Azysfish,Fiend Worm,,,,,,,,,,,378
Oil Eel,Platinum Fish,,,,Thunder,,,Powerful,,,,415
Mucous Minnow,Fiend Worm,,,,,,,Powerful,,,,407
Oliphant's Trunk,Fiend Worm,18,23,,Thunder,,,Precision,,,,458
Ceti,Fiend Worm,18,22,Clouds,Thunder,,,,,,1,492
Delta Quadrant,,,,,,,,,,,,60204
Fountfish,Goblin Jig,,,,,,,Powerful,,,,391
Rockclimber,Bladed Steel Jig,,,,,,,,,,,411
Aether Eye,Purse Web Spider,,,,,,,Precision,,,,377
Yalm Lobster,Bladed Steel Jig,,,,,,,,,,,418
Euphotic Pirarucu,Brute Leech,18,2,,Clouds,,,Powerful,,,,403
Aphotic Pirarucu,Aether Eye,22,2,,Clouds,,,Powerful,,,,474
The Pappus Tree,,,,,,,,,,,,60205
Fountfish,Goblin Jig,,,,,,,Powerful,,,,391
Crystalfin,Bladed Steel Jig,,,,,,,,,,,379
Aether Eye,Purse Web Spider,,,,,,,Precision,,,,377
Lungfish,Brute Leech,,,,Clouds,,,Powerful,,,,351
Tiny Axolotl,Brute Leech,21,24,,,,,Precision,,,,374
Hundred-eyed Axolotl,Aether Eye,6,10,,,,,,,,,486
The Habisphere,,,,,,,,,,,,60206
Sky Faerie,Red Balloon,,,,,,,,,,,353
Rudderfish,Giant Crane Fly,,,,,,,,,,,405
Unidentified Flying Biomass,Red Balloon,,,,,,,,,,,408
Bomb Puffer,Giant Crane Fly,,,,,,,Powerful,,,,406
Sky Sweeper,Giant Crane Fly,,,,,,,Powerful,,,,385
Tupuxuara,Red Balloon,15,18,,,,,Powerful,,,,433
Stupendemys,Rudderfish,,,,,,,,,,,425
Cobrafish,Giant Crane Fly,,,,,,,Powerful,,,,413
Crystal Pigeon,Rudderfish,,,Fair Skies,Thunder,,,Powerful,,,1,493
The Flagship,,,,,,,,,,,,60207
Platinum Fish,Fiend Worm,,,,,,,,,,,376
Azysfish,Fiend Worm,,,,,,,,,,,378
Oil Eel,Platinum Fish,,,,Thunder,,,Powerful,,,,415
Jeweled Jellyfish,Platinum Fish,20,3,,,,,,,,,416
Barreleye,Platinum Fish,,,,Thunder,,,Powerful,,,1,427
Functional Proto-hropken,Fiend Worm,,,,Thunder,,,Powerful,,,1,438
Allagan Bladeshark,Platinum Fish,,,Clouds,Thunder,,,Powerful,,,,477
Opabinia,Platinum Fish,,,,Thunder,"Functional Proto-hropken, 3",,Precision,,,,501
The Hundred Throes,,,,,,,,,,,,70101
Whilom Catfish,Goblin Jig,,,,"Clouds, Dust Storms, Fog",,,,,,,321
Pipira Pira,Goblin Jig,,,,"Clouds, Dust Storms, Fog",,,,,,,341
Blueclaw Shrimp,Stonefly Nymph,,,,,,,,,,,322
Grass Carp,Bladed Steel Jig,,,,"Clouds, Dust Storms, Fog",,,,,,,340
Shadowhisker,Brute Leech,,,,,,,,,,,369
Dravanian Smelt,Brute Leech,,,,,,,,,,,440
River Shrimp,Brute Leech,,,,,,Light,,,,,510
Scaleripper,Brute Leech,,,,"Clouds, Dust Storms, Fog",,,Powerful,,,,465
Whilom River,,,,,,,,,,,,70102
Whilom Catfish,Goblin Jig,,,,"Clouds, Dust Storms, Fog",,,,,,,321
Rock Mussel,Stonefly Nymph,,,,,,,,,1,,333
Pipira Pira,Goblin Jig,,,,"Clouds, Dust Storms, Fog",,,,,,,341
Three-lip Carp,Bladed Steel Jig,,,,,,,,,,,329
Blueclaw Shrimp,Stonefly Nymph,,,,,,,,,,,322
Dravanian Bass,Blueclaw Shrimp,0,6,,"Clouds, Dust Storms, Fog",,,Powerful,,,,361
Twin-tongued Carp,Brute Leech,12,16,"Clouds, Dust Storms",Clear Skies,,,,,,,480
The Smoldering Wastes,,,,,,,,,,,,70103
Whilom Catfish,Goblin Jig,,,,"Clouds, Dust Storms, Fog",,,,,,,321
Rock Mussel,Goblin Jig,,,,,,,,,1,,333
Blueclaw Shrimp,Stonefly Nymph,,,,,,,,,,,322
Three-lip Carp,Bladed Steel Jig,,,,,,,,,,,329
Warmwater Bichir,Purse Web Spider,21,3,,,,,Powerful,,,,367
Marble Oscar,Purse Web Spider,,,,,,,Powerful,,,,350
The Dreamweaver,Brute Leech,22,2,,"Clouds, Dust Storms, Fog",,,Powerful,,,,466
The Iron Feast,,,,,,,,,,,,70104
Pipira Pira,Goblin Jig,,,,"Clouds, Dust Storms, Fog",,,,,,,341
Blueclaw Shrimp,Stonefly Nymph,,,,,,,,,,,322
Dragonhead,Goblin Jig,,,,,,,,,,,364
Caiman,Blueclaw Shrimp,18,21,,,,,Powerful,,,,402
Thunderbolt Eel,Blueclaw Shrimp,22,4,,,,,Powerful,,,,428
Amber Salamander,Brute Leech,6,12,,,,,Powerful,,,,451
Thunderscale,Blueclaw Shrimp,6,8,"Clouds, Dust Storms, Fog",Thunder,,,Powerful,,,,494
Mourn,,,,,,,,,,,,70105
Lava Crab,Magma Worm,,,,,,,,,,,345
Granite Crab,Magma Worm,,,,,,,Precision,,,,354
Cindersmith,Magma Worm,,,,,,,Precision,,,,372
Cometoise,Granite Crab,,,,,,Medium,Powerfull,,,,387
Oven Catfish,Granite Crab,,,,,,,Powerfull,,,,420
Meteortoise,Granite Crab,,,,,,,Powerful,,,,467
West Mourn,,,,,,,,,,,,70106
Granite Crab,Magma Worm,,,,,,,,,,,354
Aithon's Colt,Magma Worm,,,,,,,Precision,,,,355
Magma Tree,Magma Worm,,,,,,,Precision,,1,,359
Cindersmith,Magma Worm,,,,,,,Precision,,1,,372
Black Magefish,Granite Crab,,,,,,,Powerful,,,1,426
Hraesvelgr's Tear,Magma Worm,2,6,,,,,,,,1,484
Anyx Old,,,,,,,,,,,,70107
Lava Crab,Magma Worm,,,,,,,,,,,345
Granite Crab,Magma Worm,,,,,,,,,,,354
Cindersmith,Magma Worm,,,,,,,Precision,,1,,372
Aithon's Colt,Magma Worm,,,,,,,Precision,,,,355
Cometoise,Granite Crab,,,,,,,,,,,387
Magma Louse,Granite Crab,18,5,,,,,Powerful,,,1,386
Riddle,Granite Crab,8,16,Clear Skies,Clear Skies,,,Powerful,,,1,495
Hoplite,Metal Spinner,,,,,,,,,,,3311
Halo,,,,,,,,,,,,70108
Granite Crab,Magma Worm,,,,,,,,,,,354
Magma Tree,Magma Worm,,,,,,,Precision,,1,,359
Cometoise,Granite Crab,,,,,,,,,,,387
Fossiltongue,Magma Worm,,,,,,,Powerful,,,1,400
Lavalord,Granite Crab,9,16,,"Clear Skies, Fair Skies",,,Powerful,,,1,432
Lava Snail,Magma Worm,,,,"Clear Skies, Fair Skies",,,,,1,,455
The Lord of Lords,Granite Crab,8,16,"Clouds, Dust Storms, Fog","Clear Skies, Fair Skies",,,Powerful,,,1,496
Problematicus,Granite Crab,10,15,,"Clear Skies, Fair Skies","Fossiltongue, 3, Granite Crab, 5",,Powerful,,,,500
Thaliak River,,,,,,,,,,,,70201
Hedgemole Cricket,Stonefly Nymph,,,,,,,,,,,357
Sweetfish,Goblin Jig,,,,,,,Powerful,,,,380
Philosopher's Stone,Bladed Steel Jig,,,,,,,,,,,390
Shipworm,Goblin Jig,,,,,,,,,,,356
Autumn Leaf,Purse Web Spider,,,,,,,Precision,,,,383
Illuminati Perch,Hedgemole Cricket,,,,,,,,,,,404
Hinterlands Perch,Bladed Steel Jig,,,,,,,Powerful,,,,419
The Ewer King,Sweetfish,,,,,,,Powerful,,,,468
Thinker's Coral,Signature Skyball,,,,,,,Precision,,,,3299
Quickspill Delta,,,,,,,,,,,,70202
Blueclaw Shrimp,Stonefly Nymph,,,,,,,,,,,322
Bullfrog,Bladed Steel Jig,,,,,,,,,,,330
Hedgemole Cricket,Purse Web Spider,,,,,,,,,,,357
Yalm Lobster,Bladed Steel Jig,,,,,,,,,,,418
Orn Butterfly,Brute Leech,,,,,,,Powerful,,,,381
Tigerfish,Brute Leech,,,,,,,Powerful,,,,352
Gnomefish,Purse Web Spider,,,,,,,Precision,,,,452
Madam Butterfly,Hedgemole Cricket,21,2,,Clear Skies,,,Powerful,,,,481
Upper Thaliak River,,,,,,,,,,,,70203
Hedgemole Cricket,Purse Web Spider,,,,,,,,,,,357
Scholar Sculpin,Purse Web Spider,,,,,,,,,,,347
Sweetfish,Bladed Steel Jig,,,,,,,Powerful,,,,380
Shipworm,Goblin Jig,,,,,,,,,,,356
Yalm Lobster,Bladed Steel Jig,,,,,,,,,,,418
Loosetongue,Brute Leech,13,20,,,,,Powerful,,,,430
Armored Catfish,Brute Leech,,,,"Clouds, Fog",,,Powerful,,,,460
Thavnairian Leaf,Stonefly Nymph,,,,,,,,,,,506
The Speaker,Hedgemole Cricket,,,"Clouds, Fog",Showers,,,Powerful,,,,497
Armor Fish,Hedgemole Cricket,1,4,,Clear Skies,"Hedgemole Cricket, 6",,Precision,,,,502
Middle Thaliak River,,,,,,,,,,,,70204
Philosopher's Stone,Goblin Jig,,,,,,,,,,,390
Scholar Sculpin,Purse Web Spider,,,,,,,,,,,347
Sweetfish,Goblin Jig,,,,,,,Powerful,,,,380
Hedgemole Cricket,Stonefly Nymph,,,,,,,,,,,357
Bullfrog,Bladed Steel Jig,,,,,,,,,,,330
Thaliak Caiman,Bullfrog,15,18,,,,,Powerful,,,,431
Berserker Betta,Brute Leech,,,,"Clear Skies, Fair Skies",,,Powerful,,,,436
Goblin Bass,Brute Leech,0,5,,"Clouds, Fog",,,,,,1,443
Bobgoblin Bass,Sweetfish,2,6,Rain,Showers,,,Powerful,,,,487
Inkshell,Metal Spinner,,,,,,,,,,,3315
Eil Tohm,,,,,,,,,,,,70301
Cloudfish,Stonefly Nymph,,,,,,,,,,,331
Lamp Marimo,Chocobo Fly,,,,,,Light,,,,,74
Kissing Fish,Stonefly Nymph,9,2,,,,,,,,,343
Noontide Oscar,Brute Leech,,,,,,,,,,,368
Vidofnir,Brute Leech,8,10,,,,,Powerful,,,,469
Greensward,,,,,,,,,,,,70302
Mogpom,Goblin Jig,,,,,,,Precision,,,,358
Moggle Mogpom,Brute Leech,10,13,Gales,Clear Skies,,,,,,,482
Weston Waters,,,,,,,,,,,,70303
Cloudfish,Stonefly Nymph,,,,,,,,,,,331
Dravanian Squeaker,Stonefly Nymph,16,19,,,,,,,,,342
Weston Bowfin,Goblin Jig,8,12,,,,,,,,,392
Hundred Fin,Goblin Jig,,,,,,,,,,,382
Lovers' Clam,Bladed Steel Jig,,,,,,Light,,,,,509
Thousand Fin,Brute Leech,,,Clouds,Gales,,,,,,1,498
Landlord Colony,,,,,,,,,,,,70304
Sky Faerie,Red Balloon,,,,,,,,,,,353
Gloaming Coral,Red Balloon,,,,,,,,,1,,395
Cloud Rider,Red Balloon,,,,,,,,,,,360
